"coreshop", "CoreShop"
"coreshop_report_quantities_quantity","Quantity"
"coreshop_report_quantities_price","Price"
"coreshop_report_quantities_totalPrice","Worth"
"coreshop_carrier_sort","Carrier Sort"
"coreshop_carrier_sort_price","Price"
"coreshop_carrier_sort_grade","Grade"
"coreshop_report_carriers","Carrier Distribution"
"coreshop_report_payments","Payment Distribution"
"coreshop_monitoring","Monitoring"
"coreshop_monitoring_emptyCategories","Empty Categories"
"coreshop_monitoring_disableProducts","Disabled Products"
"coreshop_monitoring_disableProducts_enabled","Enabled"
"coreshop_monitoring_disableProducts_available_for_order","Available for Order"
"coreshop_states","States"
"coreshop_state","State"
"coreshop_state_name","Name"
"coreshop_state_isoCode","ISO Code"
"coreshop_state_active","Active"
"coreshop_state_country", "Country"
"coreshop_state_creation_error","Error creating State"
"coreshop_all","All"
"coreshop_monitoring_outOfStockProducts","Out of Stock Products"
"coreshop_monitoring_outOfStockProducts_quantity","Quantity"
"coreshop_monitoring_outOfStockProducts_out_of_stock_behaviour","Behaviour"
"coreshop_note_order_payment","Payment from '%s' ('%s')."
"coreshop_note_order_payment_description","New Payment from '%s' with total amount '%s' has been made"
"coreshop_currency_automatic_exchange_rates","Automatic Exchange Rates"
"coreshop_currency_exchange_rate_provider","Exchange Rate Provider"
"coreshop_currency_exchange_rate_last_update","Last Update"
"coreshop_tax","Tax"
"coreshop_taxation_address","Taxation Address"
"coreshop_taxation_address_shipping","Shipping"
"coreshop_taxation_address_billing","Billing"
"coreshop_cart_activate_auto_cleanup","Activate automatic cart cleanup"
"coreshop_cart_activate_auto_cleanup_settings","Automatic cart cleanup settings"
"coreshop_cart_cleanup_older_than_days","Remove carts older than (in days)"
"coreshop_cart_cleanup_delete_anonymous_carts","Remove anonymous carts"
"coreshop_cart_cleanup_delete_user_carts","Remove user carts"
"coreshop_product_list","Productlist"
"coreshop_product_id","ID"
"coreshop_product_name","Name"
"coreshop_product_quantity","Quantity"
"coreshop_product_price","Price"
"coreshop_debug","Debug"
"coreshop_show_debug","Display Debug Helper"
"coreshop_messaging","Customer Service"
"coreshop_messaging_contact","Contacts"
"coreshop_messaging_threadstate","Thread State"
