"coreshop", "CoreShop"
"coreshop_index_field_getter","Getter Klasse"
"coreshop_index_field_brickfield","Brick Feld"
"coreshop_index_field","Feld"
"coreshop_indexes_selected_fields","Indexed Felder"
"coreshop_indexes_fields","Felder"
"coreshop_indexes_enter_the_name","Name des neuen Index"
"coreshop_indexes_name","Name"
"coreshop_indexes_type","Typ"
"coreshop_filters","Filter"
"coreshop_product_filters","Filter"
"coreshop_product_filter","Filter"
"coreshop_filters_add","Neu"
"coreshop_product_filters_resultsPerPage","Ergebnisse pro Seite"
"coreshop_product_filters_order","Sortierung"
"coreshop_product_filters_order_desc","absteigend"
"coreshop_product_filters_order_asc","aufsteigend"
"coreshop_product_filters_orderKey","Sortierungsfeld"
"coreshop_product_filters_index","Index"
"coreshop_product_filters_preconditions","Vor Auswahl"
"coreshop_product_filters_filters","Filter"
"coreshop_product_filters_select","Select"
"coreshop_product_filters_multiselect","Multiselect"
"coreshop_product_filters_range","Range"
"coreshop_product_filters_field","Feld"
"coreshop_product_filters_fields","Felder"
"coreshop_product_filters_boolean","Boolean"
"coreshop_product_filters_value","Wert"
"coreshop_product_filters_values","Werte"
"coreshop_product_filters_value_min","Min. Wert"
"coreshop_product_filters_value_max","Max. Wert"
"coreshop_index_field_classificationstore","ClassificationStore Field"
"coreshop_filters_enter_the_name","Name des neuen Filter"
"coreshop_index_field_interpreter","Interpreter"
"coreshop_index_field_settings","Einstellungen"
"coreshop_index_interpreter_settings","Interpreter Einstellungen"
"coreshop_index_getter_settings","Getter Einstellungen"
"coreshop_language","Sprache"
"coreshop_note_orderstate_change","%s"
"coreshop_note_orderstate_change_description","Bestellstatus wurde in '%s' geändert."
"coreshop_date","Datum"
"coreshop_paymentProvider","Zahlungsanbieter"
"coreshop_transactionNumber","Transaktionsnummer"
"coreshop_amount","Betrag"
"coreshop_add_payment","Zahlung hinzufügen"
"coreshop_invoice_wkhtmltopdf_params","WKHTMLTOPDF Parameter"
"coreshop_more","CoreShop Mehr"
"coreshop_open_invoice","Rechnung öffnen"
"coreshop_reports","Auswertung"
"coreshop_report_carts","Warenkörbe"
"coreshop_report_sales","Verkäufe"
"coreshop_report_day","Tag"
"coreshop_report_day_minus","Tag -1"
"coreshop_report_month","Monat"
"coreshop_report_month_minus","Monat -1"
"coreshop_report_year","Jahr"
"coreshop_report_year_minus","Jahr -1"
"coreshop_report_year_from","Von"
"coreshop_report_year_to","Bis"
"coreshop_report_filter","Filter"
"coreshop_report_products","Produkte",
"coreshop_report_products_count","Anzahl"
"coreshop_report_products_name","Name"
"coreshop_report_products_salesPrice","Verkaufspreis"
"coreshop_report_products_sales","Umsatz"
"coreshop_report_products_profit","Gewinn"
"coreshop_report_categories","Kategorien",
"coreshop_report_categories_count","Anzahl"
"coreshop_report_categories_name","Name"
"coreshop_report_categories_sales","Umsatz"
"coreshop_report_categories_profit","Gewinn"
"coreshop_report_customers","Kunden"
"coreshop_report_customers_name","Name"
"coreshop_report_customers_count","Anzahl"
"coreshop_report_customers_sales","Umsatz"
"coreshop_report_quantities","Vorhandene Liefermengen"
"coreshop_report_quantities_name","Name"
"coreshop_report_quantities_quantity","Menge"
"coreshop_report_quantities_price","Preis"
"coreshop_report_quantities_totalPrice","Wert"
"coreshop_carrier_sort","Lieferanten Sortierung"
"coreshop_carrier_sort_price","Preis"
"coreshop_carrier_sort_grade","Lieferzeit"
"coreshop_report_carriers","Lieferanten Verteilung"
"coreshop_report_payments","Bezahldienst Verteilung"
"coreshop_monitoring","Monitoring"
"coreshop_monitoring_emptyCategories","Leere Kategorien"
"coreshop_monitoring_disableProducts","Deaktivierte Produkte"
"coreshop_monitoring_disableProducts_enabled","Aktiviert"
"coreshop_monitoring_disableProducts_available_for_order","Für Verkauf verfügbar"
"coreshop_manufacturers","Hersteller"
"coreshop_manufacturers_add","Neu"
"coreshop_manufacturers_enter_the_name","Name"
"coreshop_manufacturer_image","Bild"
"coreshop_states","Staaten"
